2 12 13 14 2
2 6 12 14 15 6
6 12 12 15 16 12
12 20 12 16 17 20
20 30 12 17 18 30
30 42 12 18 19 42
42 56 12 19 20 56
56 72 12 20 21 72
72 90 12 21 22 90
90 110 12 22 23 110
110 132 12 23 24 132
132 156 12 24 25 156
156 182 12 25 26 182
182 210 12 26 27 210
210 240 12 27 28 240
240 272 12 28 29 272
272 306 12 29 30 306
306 342 12 30 31 342
342 380 12 31 32 380
380 420 12 32 33 420
420 462 12 33 34 462
462 506 12 34 35 506
506 552 12 35 36 552
552 600 12 36 37 600
600 650 12 37 38 650
650 702 12 38 39 702
702 756 12 39 40 756
756 812 12 40 41 812
812 870 12 41 42 870
870 930 12 42 43 930
930 992 12 43 44 992
992 1056 12 44 45 1056
1056 1122 12 45 46 1122
1122 1190 12 46 47 1190
1190 1260 12 47 48 1260
1260 1332 12 48 49 1332
1332 1406 12 49 50 1406
1406 1482 12 50 51 1482
1482 1560 12 51 52 1560
1560 1640 12 52 53 1640
1640 1722 12 53 54 1722
1722 1806 12 54 55 1806
1806 1892 12 55 56 1892
1892 1980 12 56 57 1980
1980 2070 12 57 58 2070
2070 2162 12 58 59 2162
2162 2256 12 59 60 2256
2256 2352 12 60 61 2352
2352 2450 12 61 62 2450
2450 2550 12 62 63 2550
2550 2652 12 63 64 2652
2652 2756 12 64 65 2756
2756 2862 12 65 66 2862
2862 2970 12 66 67 2970
2970 3080 12 67 68 3080
3080 3192 12 68 69 3192
3192 3306 12 69 70 3306
3306 3422 12 70 71 3422
3422 3540 12 71 72 3540
3540 3660 12 72 73 3660
3660 3782 12 73 74 3782
3782 3906 12 74 75 3906
3906 4032 12 75 76 4032
4032 4160 12 76 77 4160
4160 4290 12 77 78 4290
4290 4422 12 78 79 4422
4422 4556 12 79 80 4556
4556 4692 12 80 81 4692
4692 4830 12 81 82 4830
4830 4970 12 82 83 4970
4970 5112 12 83 84 5112
5112 5256 12 84 85 5256
5256 5402 12 85 86 5402
5402 5550 12 86 87 5550
5550 5700 12 87 88 5700
5700 5852 12 88 89 5852
5852 6006 12 89 90 6006
6006 6162 12 90 91 6162
6162 6320 12 91 92 6320
6320 6480 12 92 93 6480
6480 6642 12 93 94 6642
6642 6806 12 94 95 6806
6806 6972 12 95 96 6972
6972 7140 12 96 97 7140
7140 7310 12 97 98 7310
7310 7482 12 98 99 7482
7482 7656 12 99 100 7656
7656 7832 12 100 101 7832
7832 8010 12 101 102 8010
8010 8190 12 102 103 8190
8190 8372 12 103 104 8372
8372 8556 12 104 105 8556
8556 8742 12 105 106 8742
8742 8930 12 106 107 8930
8930 9120 12 107 108 9120
9120 9312 12 108 109 9312
9312 9506 12 109 110 9506
9506 9702 12 110 111 9702
9702 9900 12 111 112 9900
9900 10100 12 112 113 10100
10100 10302 12 113 114 10302
10302 10506 12 114 115 10506
10506 10712 12 115 116 10712
10712 10920 12 116 117 10920
10920 11130 12 117 118 11130
11130 11342 12 118 119 11342
11342 11556 12 119 120 11556
11556 11772 12 120 121 11772
11772 11990 12 121 122 11990
11990 12210 12 122 123 12210
12210 12432 12 123 124 12432
12432 12656 12 124 125 12656
12656 12882 12 125 126 12882
12882 13110 12 126 127 13110
13110 13340 12 127 128 13340
13340 13572 12 128 129 13572
13572 13806 12 129 130 13806
13806 14042 12 130 131 14042
14042 14280 12 131 132 14280
14280 14520 12 132 133 14520
14520 14762 12 133 134 14762
14762 15006 12 134 135 15006
15006 15252 12 135 136 15252
15252 15500 12 136 137 15500
15500 15750 12 137 138 15750
15750 16002 12 138 139 16002
16002 16256 12 139 140 16256
16256 16512 12 140 141 16512
16512 16770 12 141 142 16770
16770 17030 12 142 143 17030
17030 17292 12 143 144 17292
17292 17556 12 144 145 17556
17556 17822 12 145 146 17822
17822 18090 12 146 147 18090
18090 18360 12 147 148 18360
18360 18632 12 148 149 18632
18632 18906 12 149 150 18906
18906 19182 12 150 151 19182
19182 19460 12 151 152 19460
19460 19740 12 152 153 19740
19740 20022 12 153 154 20022
20022 20306 12 154 155 20306
20306 20592 12 155 156 20592
20592 20880 12 156 157 20880
20880 21170 12 157 158 21170
21170 21462 12 158 159 21462
21462 21756 12 159 160 21756
21756 22052 12 160 161 22052
22052 22350 12 161 162 22350
22350 22650 12 162 163 22650
22650 22952 12 163 164 22952
22952 23256 12 164 165 23256
23256 23562 12 165 166 23562
23562 23870 12 166 167 23870
23870 24180 12 167 168 24180
24180 24492 12 168 169 24492
24492 24806 12 169 170 24806
24806 25122 12 170 171 25122
25122 25440 12 171 172 25440
25440 25760 12 172 173 25760
25760 26082 12 173 174 26082
26082 26406 12 174 175 26406
26406 26732 12 175 176 26732
26732 27060 12 176 177 27060
27060 27390 12 177 178 27390
27390 27722 12 178 179 27722
27722 28056 12 179 180 28056
28056 28392 12 180 181 28392
28392 28730 12 181 182 28730
28730 29070 12 182 183 29070
29070 29412 12 183 184 29412
29412 29756 12 184 185 29756
29756 30102 12 185 186 30102
30102 30450 12 186 187 30450
30450 30800 12 187 188 30800
30800 31152 12 188 189 31152
31152 31506 12 189 190 31506
31506 31862 12 190 191 31862
31862 32220 12 191 192 32220
32220 32580 12 192 193 32580
32580 32942 12 193 194 32942
32942 33306 12 194 195 33306
33306 33672 12 195 196 33672
33672 34040 12 196 197 34040
34040 34410 12 197 198 34410
34410 34782 12 198 199 34782
34782 35156 12 199 200 35156
35156 35532 12 200 201 35532
35532 35910 12 201 202 35910
35910 36290 12 202 203 36290
36290 36672 12 203 204 36672
36672 37056 12 204 205 37056
37056 37442 12 205 206 37442
37442 37830 12 206 207 37830
37830 38220 12 207 208 38220
38220 38612 12 208 209 38612
38612 39006 12 209 210 39006
39006 39402 12 210 211 39402
39402 39800 12 211 212 39800
39800 40200 12 212 213 40200
40200 40602 12 213 214 40602
40602 41006 12 214 215 41006
41006 41412 12 215 216 41412
41412 41820 12 216 217 41820
41820 42230 12 217 218 42230
42230 42642 12 218 219 42642
42642 43056 12 219 220 43056
43056 43472 12 220 221 43472
43472 43890 12 221 222 43890
43890 44310 12 222 223 44310
44310 44732 12 223 224 44732
44732 45156 12 224 225 45156
45156 45582 12 225 226 45582
45582 46010 12 226 227 46010
46010 46440 12 227 228 46440
46440 46872 12 228 229 46872
46872 47306 12 229 230 47306
47306 47742 12 230 231 47742
47742 48180 12 231 232 48180
48180 48620 12 232 233 48620
48620 49062 12 233 234 49062
49062 49506 12 234 235 49506
49506 49952 12 235 236 49952
49952 50400 12 236 237 50400
50400 50850 12 237 238 50850
50850 51302 12 238 239 51302
51302 51756 12 239 240 51756
51756 52212 12 240 241 52212
52212 52670 12 241 242 52670
52670 53130 12 242 243 53130
53130 53592 12 243 244 53592
53592 54056 12 244 245 54056
54056 54522 12 245 246 54522
54522 54990 12 246 247 54990
54990 55460 12 247 248 55460
55460 55932 12 248 249 55932
55932 56406 12 249 250 56406
56406 56882 12 250 251 56882
56882 57360 12 251 252 57360
57360 57840 12 252 253 57840
57840 58322 12 253 254 58322
58322 58806 12 254 255 58806
58806 59292 12 255 256 59292
59292 59780 12 256 257 59780
59780 60270 12 257 258 60270
60270 60762 12 258 259 60762
60762 61256 12 259 260 61256
61256 61752 12 260 261 61752
61752 62250 12 261 262 62250
62250 62750 12 262 263 62750
62750 63252 12 263 264 63252
63252 63756 12 264 265 63756
63756 64262 12 265 266 64262
64262 64770 12 266 267 64770
64770 65280 12 267 268 65280
65280 65792 12 268 269 65792
65792 66306 12 269 270 66306
66306 66822 12 270 271 66822
66822 67340 12 271 272 67340
67340 67860 12 272 273 67860
67860 68382 12 273 274 68382
68382 68906 12 274 275 68906
68906 69432 12 275 276 69432
69432 69960 12 276 277 69960
69960 70490 12 277 278 70490
70490 71022 12 278 279 71022
71022 71556 12 279 280 71556
71556 72092 12 280 281 72092
72092 72630 12 281 282 72630
72630 73170 12 282 283 73170
73170 73712 12 283 284 73712
73712 74256 12 284 285 74256
74256 74802 12 285 286 74802
74802 75350 12 286 287 75350
75350 75900 12 287 288 75900
75900 76452 12 288 289 76452
76452 77006 12 289 290 77006
77006 77562 12 290 291 77562
77562 78120 12 291 292 78120
78120 78680 12 292 293 78680
78680 79242 12 293 294 79242
79242 79806 12 294 295 79806
79806 80372 12 295 296 80372
80372 80940 12 296 297 80940
80940 81510 12 297 298 81510
81510 82082 12 298 299 82082
82082 82656 12 299 300 82656
82656 83232 12 300 301 83232
83232 83810 12 301 302 83810
83810 84390 12 302 303 84390
84390 84972 12 303 304 84972
84972 85556 12 304 305 85556
85556 86142 12 305 306 86142
86142 86730 12 306 307 86730
86730 87320 12 307 308 87320
87320 87912 12 308 309 87912
87912 88506 12 309 310 88506
88506 89102 12 310 311 89102
89102 89700 12 311 312 89700
89700 90300 12 312 313 90300
90300 90902 12 313 314 90902
90902 91506 12 314 315 91506
91506 92112 12 315 316 92112
92112 92720 12 316 317 92720
92720 93330 12 317 318 93330
93330 93942 12 318 319 93942
93942 94556 12 319 320 94556
94556 95172 12 320 321 95172
95172 95790 12 321 322 95790
95790 96410 12 322 323 96410
96410 97032 12 323 324 97032
97032 97656 12 324 325 97656
97656 98282 12 325 326 98282
98282 98910 12 326 327 98910
98910 99540 12 327 328 99540
99540 100172 12 328 329 100172
100172 100806 12 329 330 100806
100806 101442 12 330 331 101442
101442 102080 12 331 332 102080
102080 102720 12 332 333 102720
102720 103362 12 333 334 103362
103362 104006 12 334 335 104006
104006 104652 12 335 336 104652
104652 105300 12 336 337 105300
105300 105950 12 337 338 105950
105950 106602 12 338 339 106602
106602 107256 12 339 340 107256
107256 107912 12 340 341 107912
107912 108570 12 341 342 108570
108570 109230 12 342 343 109230
109230 109892 12 343 344 109892
109892 110556 12 344 345 110556
110556 111222 12 345 346 111222
111222 111890 12 346 347 111890
111890 112560 12 347 348 112560
112560 113232 12 348 349 113232
113232 113906 12 349 350 113906
113906 114582 12 350 351 114582
114582 115260 12 351 352 115260
115260 115940 12 352 353 115940
115940 116622 12 353 354 116622
116622 117306 12 354 355 117306
117306 117992 12 355 356 117992
117992 118680 12 356 357 118680
118680 119370 12 357 358 119370
119370 120062 12 358 359 120062
120062 120756 12 359 360 120756
120756 121452 12 360 361 121452
121452 122150 12 361 362 122150
122150 122850 12 362 363 122850
122850 123552 12 363 364 123552
123552 124256 12 364 365 124256
124256 124962 12 365 366 124962
124962 125670 12 366 367 125670
125670 126380 12 367 368 126380
126380 127092 12 368 369 127092
127092 127806 12 369 370 127806
127806 128522 12 370 371 128522
128522 129240 12 371 372 129240
